"ET_ID";"Id";"ET_Index";"Temp_21";"Prec_21";"BIO12_Prec";"X_cen";"Y_cen";"R_Odonata";"R_Lotic";"R_Lentic";"Temp_0";"Prec_0";"vart";"varp";"H_Lent";"H_Lot"
934;0;"8--14";15.3087;140.986;599.671;2925000;1725000;51;14;37;15;1128.5;-0.3087;987.514;2690000;271730
935;0;"8--15";15.9519;122.406;638.398;2975000;1725000;47;12;35;15;719.333;-0.9519;596.927;6780000;176110
936;0;"8--16";15.9805;121.768;619.523;3025000;1725000;49;13;36;14.8;639.4;-1.1805;517.632;1840000;241932
937;0;"8--17";15.6031;114.781;581.026;3075000;1725000;44;11;33;13.6;609;-2.0031;494.219;9350000;178827
938;0;"8--18";15.4933;85.4955;554.848;3125000;1725000;40;11;29;13;701.333;-2.4933;615.8375;3700000;137503
940;0;"8--20";15.7669;57.7911;500.593;3225000;1725000;40;13;27;11;975.6;-4.7669;917.8089;2420000;35733
941;0;"8--21";15.5633;58.1242;404.1;3275000;1725000;40;11;29;12.5;782.5;-3.0633;724.3758;3130000;127138
942;0;"8--22";14.9724;61.1031;323.251;3325000;1725000;42;11;31;14.25;747.75;-0.7224;686.6469;4020000;258449
943;0;"8--23";14.2929;56.0403;300.538;3375000;1725000;46;11;35;16;548;1.7071;491.9597;11160000;127557
972;0;"8--52";14.5087;160.346;850.918;4825000;1725000;38;7;31;16;987;1.4913;826.654;0;10434
973;0;"8--53";14.4408;160.619;881.213;4875000;1725000;42;9;33;16.6667;960.667;2.2259;800.048;3540000;25119
980;0;"8--60";14.663;127.102;996.503;5225000;1725000;26;2;24;16.25;1152.5;1.587;1025.398;0;17729
981;0;"8--61";14.6366;130.155;988.308;5275000;1725000;28;2;26;16.4;1077.6;1.7634;947.445;0;77973
982;0;"8--62";14.6183;132.479;806.882;5325000;1725000;41;10;31;16.6;1009.2;1.9817;876.721;32160000;174976
983;0;"8--63";14.9075;115.233;878.245;5375000;1725000;42;12;30;13.6667;1102;-1.2408;986.767;3970000;219340
985;0;"8--65";15.5038;81.8059;607.304;5475000;1725000;44;11;33;15.4;670.2;-0.1038;588.3941;0;91922
986;0;"8--66";15.2009;96.5847;468.316;5525000;1725000;38;10;28;16.6667;554.333;1.4658;457.7483;0;31764
987;0;"8--67";14.8786;112.303;415.126;5575000;1725000;33;8;25;16.6;584.6;1.7214;472.297;0;38132
1043;0;"9--8";12.8232;170.396;485.325;2625000;1775000;46;11;35;15;595.333;2.1768;424.937;0;0
1044;0;"9--9";12.9728;165.068;528.175;2675000;1775000;53;15;38;15;652.6;2.0272;487.532;1.6e+07;138795
1045;0;"9--10";12.4309;185.019;568.8;2725000;1775000;55;16;39;15.3333;736;2.9024;550.981;3660000;329554
1046;0;"9--11";12.4922;183.907;518.414;2775000;1775000;55;16;39;16;567;3.5078;383.093;67500000;399227
1047;0;"9--12";13.3588;180.351;514.493;2825000;1775000;50;14;36;16;538;2.6412;357.649;9620000;154034
1048;0;"9--13";14.3269;166.989;581.578;2875000;1775000;44;10;34;15;567;0.6731;400.011;25610000;249022
1050;0;"9--15";15.7752;131.77;630.699;2975000;1775000;46;14;32;15;642.333;-0.7752;510.563;39910000;294365
1051;0;"9--16";15.8063;126.547;613.676;3025000;1775000;44;12;32;14.5;613.25;-1.3063;486.703;30610000;277849
1052;0;"9--17";15.4441;128.876;534.209;3075000;1775000;40;10;30;13.6;571.8;-1.8441;442.924;97710000;253103
1053;0;"9--18";15.3084;118.435;465.45;3125000;1775000;41;11;30;13.25;601.25;-2.0584;482.815;56240000;287811
1054;0;"9--19";15.4182;82.3985;450.428;3175000;1775000;38;11;27;12.25;797.75;-3.1682;715.3515;25050000;317533
1055;0;"9--20";14.9589;82.154;526.459;3225000;1775000;36;11;25;11;850.5;-3.9589;768.346;11780000;176989
1056;0;"9--21";14.7608;81.8215;403.004;3275000;1775000;37;12;25;11.5;712.75;-3.2608;630.9285;19340000;266646
1057;0;"9--22";14.4413;72.0554;371.652;3325000;1775000;44;12;32;13.25;665.25;-1.1913;593.1946;7110000;68715
1058;0;"9--23";13.7359;68.2131;413.269;3375000;1775000;50;12;38;14.75;491.25;1.0141;423.0369;4160000;68477
1059;0;"9--24";13.553;58.3066;511.528;3425000;1775000;45;11;34;15;428.25;1.447;369.9434;58230000;32863
1060;0;"9--25";13.3643;52.5226;566.063;3475000;1775000;37;10;27;15;423;1.6357;370.4774;0;19666
1088;0;"9--53";13.9242;178.227;915.308;4875000;1775000;44;9;35;15.75;1099.75;1.8258;921.523;1620000;84053
1089;0;"9--54";13.8462;179.141;769.681;4925000;1775000;45;9;36;15;1143.6;1.1538;964.459;950000;15568
1095;0;"9--60";14.3206;146.231;1019.37;5225000;1775000;26;2;24;16;1292.6;1.6794;1146.369;550000;17465
1096;0;"9--61";14.2601;149.073;953.721;5275000;1775000;38;7;31;16;1256.8;1.7399;1107.727;3270000;75117
1097;0;"9--62";14.2801;145.023;865.822;5325000;1775000;39;7;32;15.5;1144.5;1.2199;999.477;112420000;165452
1098;0;"9--63";14.5696;128.172;834.947;5375000;1775000;44;10;34;14.5;1029.5;-0.0695999999999994;901.328;3350000;242957
1099;0;"9--64";15.3754;88.237;729.461;5425000;1775000;40;9;31;14.8;832;-0.5754;743.763;0;95121
1100;0;"9--65";15.3816;87.3544;594.566;5475000;1775000;39;10;29;15.75;639.75;0.368399999999999;552.3956;380000;131439
1101;0;"9--66";15.0596;102.527;482.907;5525000;1775000;38;9;29;16;565.75;0.9404;463.223;3420000;197484
1102;0;"9--67";14.7154;118.763;470.719;5575000;1775000;36;9;27;17;546;2.2846;427.237;5100000;66476
1159;0;"10--9";12.6243;186.187;556.765;2675000;1825000;49;13;36;16;629;3.3757;442.813;13760000;96883
